Race ID,Horse ID,Favorite_Rank,Age_Scale,Bracket Number,Top3_Rank,Speed (m/s)_Rank,Track_Distance,Weight_Rank,Finish Position
199005010411,1985106826,7.0,1.0120481927710843,7,1.0,4.0,1600,1.0,2
199005010411,1983104583,4.0,1.382716049382716,8,1.0,4.0,1600,2.0,3
199005010411,1986105043,1.0,0.8333333333333334,5,1.0,4.0,1600,14.0,4
199005010411,1985100821,8.0,1.0120481927710843,3,1.0,4.0,1600,11.0,5
199005010411,1986101990,14.0,0.8333333333333334,4,1.0,4.0,1600,4.0,6
199005010411,1985104018,5.0,1.0120481927710843,2,1.0,3.0,1600,3.0,7
199005010411,1985103527,10.0,1.0120481927710843,1,1.0,4.0,1600,6.0,8
199005010411,1985105077,15.0,1.0120481927710843,6,1.0,4.0,1600,15.0,9
199005010411,1985105346,3.0,1.0120481927710843,4,1.0,1.0,1600,7.0,10
199005010411,1986106828,12.0,0.8333333333333334,2,1.0,4.0,1600,12.0,11
199005010411,1985104624,6.0,1.0120481927710843,6,1.0,4.0,1600,8.0,12
199005010411,1985102546,9.0,1.0120481927710843,8,1.0,2.0,1600,5.0,13
199005010411,1985102560,11.0,1.0120481927710843,5,1.0,4.0,1600,9.0,14
199005010411,1986106863,13.0,0.8333333333333334,7,1.0,4.0,1600,13.0,15
199005020411,1987103554,9.0,1.0,3,1.0,1.0,2000,9.0,1
199005020411,1987100260,1.0,1.0,7,1.0,1.0,2000,6.0,2
199005020411,1987102152,4.0,1.0,4,1.0,1.0,2000,1.0,3
199005020411,1987106513,3.0,1.0,8,1.0,1.0,2000,3.0,4
199005020411,1987101285,10.0,1.0,5,1.0,1.0,2000,2.0,5
199005020411,1987104784,12.0,1.0,2,1.0,1.0,2000,13.0,6
199005020411,1987102761,5.0,1.0,4,1.0,1.0,2000,6.0,7
199005020411,1987107294,6.0,1.0,8,1.0,1.0,2000,4.0,8
199005020411,1987104435,16.0,1.0,2,1.0,1.0,2000,13.0,9
199005020411,1987106434,11.0,1.0,6,1.0,1.0,2000,16.0,10
199005020411,1987101258,8.0,1.0,1,1.0,1.0,2000,15.0,11
199005020411,1987105376,2.0,1.0,5,1.0,1.0,2000,10.0,12
199005020411,1987103401,14.0,1.0,6,1.0,1.0,2000,6.0,13
199005020411,1987106773,7.0,1.0,7,1.0,1.0,2000,10.0,14
199005020411,1987105652,15.0,1.0,3,1.0,1.0,2000,4.0,15
199005020411,1987105694,13.0,1.0,1,1.0,1.0,2000,10.0,16
199005020611,1987104035,4.0,1.0,8,1.0,1.0,2000,12.0,1
199005020611,1987103697,5.0,1.0,4,1.0,1.0,2000,13.0,2
199005020611,1987105974,2.0,1.0,1,1.0,1.0,2000,16.0,3
199005020611,1987101860,8.0,1.0,8,1.0,1.0,2000,2.0,4
199005020611,1987104797,3.0,1.0,3,1.0,1.0,2000,5.0,5
199005020611,1987102140,14.0,1.0,4,1.0,1.0,2000,6.0,6
199005020611,1987100752,13.0,1.0,2,1.0,1.0,2000,14.0,7
199005020611,1987101199,9.0,1.0,1,1.0,1.0,2000,10.0,8
199005020611,1987105594,11.0,1.0,7,1.0,1.0,2000,6.0,9
199005020611,1987107090,15.0,1.0,2,1.0,1.0,2000,1.0,10
199005020611,1987100844,6.0,1.0,6,1.0,1.0,2000,11.0,11
199005020611,1987103659,12.0,1.0,5,1.0,1.0,2000,2.0,12
199005020611,1987104917,7.0,1.0,7,1.0,1.0,2000,9.0,13
199005020611,1987107052,10.0,1.0,5,1.0,1.0,2000,8.0,14
199005020611,1987103889,1.0,1.0,3,1.0,1.0,2000,2.0,15
199005020611,1987104669,16.0,1.0,6,1.0,1.0,2000,14.0,16
199005030611,1987107450,2.0,1.0,4,1.0,5.0,1600,2.0,1
199005030611,1987102798,1.0,1.0,5,1.0,5.0,1600,8.0,2
199005030611,1987104917,6.0,1.0,7,1.0,2.0,1600,7.0,3
199005030611,1987107090,5.0,1.0,1,1.0,1.0,1600,3.0,4
199005030611,1987103671,8.0,1.0,8,1.0,5.0,1600,4.0,5
199005030611,1987104437,11.0,1.0,8,1.0,5.0,1600,1.0,6
199005030611,1987106674,10.0,1.0,3,1.0,5.0,1600,13.0,7
199005030611,1987106773,14.0,1.0,6,1.0,4.0,1600,12.0,8
199005030611,1987105277,4.0,1.0,7,1.0,5.0,1600,11.0,9
199005030611,1987103636,15.0,1.0,1,1.0,5.0,1600,15.0,10
199005030611,1987105800,7.0,1.0,8,1.0,5.0,1600,6.0,11
199005030611,1987107203,3.0,1.0,3,1.0,5.0,1600,9.0,12
199005030611,1987105376,12.0,1.0,4,1.0,3.0,1600,9.0,13
199005030611,1987103526,13.0,1.0,2,1.0,5.0,1600,14.0,14
199005030611,1987101570,9.0,1.0,2,1.0,5.0,1600,5.0,15
199005020810,1985102167,1.0,0.9574468085106383,5,3.0,6.0,1600,6.0,1
199005020810,1985104215,4.0,0.9574468085106383,7,3.0,7.0,1600,5.0,2
199005020810,1986102968,2.0,0.7894736842105263,8,3.0,8.0,1600,11.0,3
199005020810,1984103836,6.0,1.129032258064516,8,3.0,8.0,1600,13.0,4
199005020810,1984104818,5.0,1.129032258064516,2,1.0,1.0,1600,10.0,5
199005020810,1985104122,3.0,0.9574468085106383,6,3.0,8.0,1600,3.0,6
199005020810,1984104249,8.0,1.129032258064516,3,3.0,8.0,1600,15.0,7
199005020810,1985106826,10.0,0.9574468085106383,1,1.0,1.0,1600,1.0,8
199005020810,1985106417,7.0,0.9574468085106383,3,3.0,8.0,1600,2.0,9
199005020810,1986106828,16.0,0.7894736842105263,4,3.0,4.0,1600,14.0,10
199005020810,1983100127,9.0,1.3043478260869565,4,3.0,8.0,1600,4.0,11
199005020810,1985102291,12.0,0.9574468085106383,6,3.0,8.0,1600,7.0,12
199005020810,1983104887,15.0,1.3043478260869565,2,3.0,8.0,1600,16.0,13
199005020810,1985103527,13.0,0.9574468085106383,1,3.0,3.0,1600,9.0,14
199005020810,1986101340,14.0,0.7894736842105263,8,3.0,8.0,1600,12.0,15
199005020810,1985102546,11.0,0.9574468085106383,7,3.0,5.0,1600,8.0,16
199005050110,1984105253,3.0,1.25,5,1.0,6.0,2000,10.0,1
199005050110,1984105468,11.0,1.25,5,1.0,6.0,2000,1.0,2
199005050110,1986106099,6.0,0.872093023255814,4,1.0,1.0,2000,7.0,3
199005050110,1985102346,13.0,1.0588235294117647,6,1.0,6.0,2000,16.0,4
199005050110,1987105800,10.0,0.6896551724137931,3,1.0,3.0,2000,10.0,5
199005050110,1985106306,1.0,1.0588235294117647,8,1.0,6.0,2000,13.0,6
199005050110,1985102000,12.0,1.0588235294117647,4,1.0,6.0,2000,9.0,7
199005050110,1984104802,15.0,1.25,7,1.0,6.0,2000,3.0,8
199005050110,1985102560,2.0,1.0588235294117647,2,1.0,2.0,2000,6.0,9
199005050110,1984103735,4.0,1.25,8,1.0,6.0,2000,14.0,10
199005050110,1985105742,7.0,1.0588235294117647,6,1.0,6.0,2000,2.0,11
199005050110,1987107203,5.0,0.6896551724137931,1,1.0,4.0,2000,14.0,12
199005050110,1985106802,8.0,1.0588235294117647,3,1.0,6.0,2000,12.0,13
199005050110,1987104090,14.0,0.6896551724137931,7,1.0,6.0,2000,8.0,14
199005050110,1985103178,16.0,1.0588235294117647,2,1.0,6.0,2000,4.0,15
199005050110,1987101570,9.0,0.6896551724137931,1,1.0,5.0,2000,5.0,16
199006050111,1988106097,3.0,1.0,2,1.0,1.0,1600,5.0,1
199006050111,1988100775,2.0,1.0,6,1.0,1.0,1600,9.0,2
199006050111,1988100647,6.0,1.0,8,1.0,1.0,1600,9.0,3
199006050111,1988102919,7.0,1.0,4,1.0,1.0,1600,9.0,4
199006050111,1988107406,14.0,1.0,5,1.0,1.0,1600,4.0,5
199006050111,1988101731,5.0,1.0,5,1.0,1.0,1600,2.0,6
199006050111,1988105819,9.0,1.0,1,1.0,1.0,1600,14.0,7
199006050111,1988101459,12.0,1.0,2,1.0,1.0,1600,1.0,8
199006050111,1988107083,10.0,1.0,6,1.0,1.0,1600,7.0,9
199006050111,1988107602,13.0,1.0,4,1.0,1.0,1600,3.0,10
199006050111,1988103211,1.0,1.0,3,1.0,1.0,1600,7.0,11
199006050111,1988100087,15.0,1.0,1,1.0,1.0,1600,13.0,12
199006050111,1988107258,4.0,1.0,3,1.0,1.0,1600,6.0,13
199006050111,1988107305,11.0,1.0,7,1.0,1.0,1600,15.0,14
199006050111,1988106837,8.0,1.0,7,1.0,1.0,1600,9.0,15
199006050610,1985104122,1.0,1.0227272727272727,1,4.0,5.0,1200,2.0,1
199006050610,1985100350,5.0,1.0227272727272727,4,4.0,12.0,1200,9.0,2
199006050610,1985106826,7.0,1.0227272727272727,7,3.0,6.0,1200,1.0,3
199006050610,1986101828,8.0,0.8426966292134831,6,1.0,3.0,1200,8.0,4
