horse1_Age,horse1_Weight (kg),horse1_Horse Weight (kg),horse1_average_time,horse2_Age,horse2_Weight (kg),horse2_Horse Weight (kg),horse2_average_time,horse3_Age,horse3_Weight (kg),horse3_Horse Weight (kg),horse3_average_time,horse4_Age,horse4_Weight (kg),horse4_Horse Weight (kg),horse4_average_time,horse5_Age,horse5_Weight (kg),horse5_Horse Weight (kg),horse5_average_time,horse6_Age,horse6_Weight (kg),horse6_Horse Weight (kg),horse6_average_time,horse7_Age,horse7_Weight (kg),horse7_Horse Weight (kg),horse7_average_time,horse8_Age,horse8_Weight (kg),horse8_Horse Weight (kg),horse8_average_time,horse9_Age,horse9_Weight (kg),horse9_Horse Weight (kg),horse9_average_time,horse10_Age,horse10_Weight (kg),horse10_Horse Weight (kg),horse10_average_time,horse11_Age,horse11_Weight (kg),horse11_Horse Weight (kg),horse11_average_time,horse12_Age,horse12_Weight (kg),horse12_Horse Weight (kg),horse12_average_time,horse13_Age,horse13_Weight (kg),horse13_Horse Weight (kg),horse13_average_time,horse14_Age,horse14_Weight (kg),horse14_Horse Weight (kg),horse14_average_time,horse15_Age,horse15_Weight (kg),horse15_Horse Weight (kg),horse15_average_time,horse16_Age,horse16_Weight (kg),horse16_Horse Weight (kg),horse16_average_time,target
6,56.0,500.0,166.225,4,55.0,454.0,146.075,5,55.0,416.0,155.4,5,57.0,470.0,154.75,6,56.0,494.0,133.03333333333333,5,57.0,470.0,122.36666666666667,4,53.0,460.0,120.675,6,56.0,470.0,125.75999999999999,4,55.0,484.0,154.9,4,55.0,518.0,154.3,4,53.0,420.0,119.60000000000001,6,56.0,520.0,154.9,6,56.0,496.0,133.46666666666667,5,57.0,472.0,155.0,8,56.0,456.0,169.79999999999998,5,57.0,462.0,178.95,4
8,57.0,492.0,162.15,5,54.0,460.0,101.52000000000001,8,56.0,452.0,118.76666666666667,6,50.0,470.0,121.1,5,58.5,478.0,122.36666666666667,9,53.0,492.0,103.86666666666667,10,53.0,426.0,123.6,6,56.0,526.0,120.1,6,56.0,474.0,141.9,7,55.0,450.0,121.19999999999999,6,58.0,484.0,121.0,5,51.0,474.0,120.8,6,53.0,514.0,120.85,6,51.0,456.0,113.97999999999999,5,49.0,456.0,120.7,7,54.0,454.0,120.7,4
5,57.0,460.0,101.52000000000001,5,55.0,432.0,69.7,5,57.0,532.0,69.6,6,58.0,500.0,77.725,5,57.0,452.0,69.5,5,55.0,466.0,69.9,6,57.0,520.0,73.96666666666665,6,57.0,482.0,94.76,6,57.0,516.0,75.6,6,55.0,468.0,85.475,6,55.0,442.0,69.25,5,57.0,420.0,69.9,6,57.0,482.0,76.2,8,58.0,426.0,81.65,5,57.0,460.0,70.8,5,55.0,476.0,69.6,9
6,49.0,458.0,113.97999999999999,7,55.0,496.0,121.1,6,58.0,498.0,119.8,7,50.0,500.0,121.9,4,51.0,418.0,120.2,6,55.0,458.0,109.46666666666665,4,53.0,484.0,121.05999999999999,8,57.0,506.0,108.30000000000001,6,55.0,464.0,141.9,5,51.0,420.0,115.2,6,53.0,520.0,120.85,6,56.0,484.0,112.66666666666667,6,57.0,470.0,125.75999999999999,6,52.0,510.0,121.0,7,56.0,422.0,99.7,4,54.0,454.0,120.075,6
5,58.0,466.0,178.95,8,58.0,454.0,206.7,6,58.0,478.0,205.5,5,58.0,504.0,207.4,7,58.0,500.0,157.15,8,58.0,452.0,169.79999999999998,8,58.0,488.0,162.15,5,58.0,490.0,164.0,7,58.0,452.0,176.85,8,58.0,464.0,177.95,6,58.0,500.0,166.225,5,58.0,460.0,178.95,5,58.0,448.0,163.35000000000002,6,58.0,478.0,141.9,6,58.0,516.0,205.5,6,58.0,520.0,176.8,15
6,57.0,492.0,85.4,7,56.0,464.0,91.125,6,57.0,512.0,73.96666666666665,6,55.0,462.0,113.97999999999999,6,57.0,470.0,74.9,4,55.0,490.0,95.56666666666668,6,57.0,516.0,75.6,4,53.0,464.0,99.96666666666665,8,58.0,484.0,75.55,6,56.0,488.0,85.475,5,58.0,476.0,70.8,4,55.0,476.0,95.83333333333333,5,57.0,486.0,81.8,4,53.0,516.0,88.15,5,57.0,456.0,82.5,5,57.0,456.0,82.85,10
3,53.0,498.0,104.76666666666667,3,53.0,418.0,98.0,3,53.0,430.0,96.2,3,53.0,430.0,95.7,3,53.0,444.0,96.1,3,53.0,452.0,97.5,3,53.0,434.0,98.1,3,53.0,426.0,97.8,3,53.0,436.0,96.6,3,53.0,484.0,112.72857142857143,3,53.0,480.0,97.9,3,53.0,476.0,97.1,3,53.0,436.0,95.0,3,53.0,446.0,98.02000000000001,3,53.0,420.0,97.4,3,53.0,428.0,97.4,12
4,54.0,426.0,84.2,4,54.0,410.0,119.60000000000001,4,54.0,424.0,87.2,4,54.0,454.0,120.675,4,54.0,410.0,85.1,4,54.0,438.0,103.80000000000001,4,54.0,472.0,83.86666666666667,4,54.0,462.0,104.6,4,54.0,430.0,82.23333333333333,4,54.0,458.0,85.5,4,54.0,452.0,85.2,4,54.0,420.0,85.0,4,54.0,434.0,85.6,4,54.0,448.0,114.9,4,54.0,434.0,84.8,4,54.0,474.0,103.15,1
4,55.0,480.0,126.5,4,55.0,480.0,127.2,4,55.0,488.0,126.9,4,55.0,446.0,124.5,4,55.0,502.0,113.93333333333334,4,55.0,474.0,124.3,4,56.0,450.0,123.6,4,56.0,482.0,125.3,4,55.0,488.0,122.65,4,55.0,444.0,116.4,4,55.0,482.0,123.9,4,55.0,416.0,127.0,4,56.0,440.0,120.075,4,55.0,492.0,126.8,4,55.0,448.0,122.5,4,55.0,432.0,125.4,6
6,49.0,416.0,123.1,5,55.0,474.0,125.96666666666665,5,53.0,490.0,122.0,5,52.0,426.0,121.9,6,54.0,456.0,121.7,5,52.0,456.0,138.45,5,54.0,500.0,121.1,7,57.5,486.0,117.63333333333333,5,53.0,488.0,115.8,5,57.5,464.0,117.83333333333333,7,54.0,484.0,116.7,6,56.0,460.0,121.1,5,53.0,502.0,121.1,5,51.0,458.0,143.4,5,54.0,514.0,123.5,7,55.0,500.0,108.16666666666667,13
